Title,Category,Img,Country,URL,Domain
Elite Daily,left,left12.png,USA,https://elitedaily.com/,elitedaily.com
ELLE Magazine,left,left8.png,USA,NA,NA
Esquire Magazine,left,left6.png,USA,https://www.esquire.com,esquire.com
Everyday Feminism,left,left9.png,USA,https://everydayfeminism.com/,everydayfeminism.com
Evonomics,left,left7.png,USA,https://evonomics.com/,evonomics.com
ExtraNewsFeed,left,left5.png,USA,https://extranewsfeed.com,extranewsfeed.com
Feminist Current,left,left11.png,Canada,http://www.feministcurrent.com,feministcurrent.com
Feministing,left,left5.png,USA,http://feministing.com/,feministing.com
The Fifth Column,left,left7.png,USA,https://thefifthcolumnnews.com/,thefifthcolumnnews.com
Fifth Estate,left,left8.png,NA,https://www.fifthestate.org/,fifthestate.org
Finnish News,left,left5.png,Finland,https://www.finnishnews.fi/,finnishnews.fi
Food and Water Watch,left,left4.png,USA,https://www.foodandwaterwatch.org,foodandwaterwatch.org
Foreign Policy Journal,left,left4.png,USA,https://www.foreignpolicyjournal.com,foreignpolicyjournal.com
Foreign Policy News,left,left7.png,USA,http://foreignpolicynews.org,foreignpolicynews.org
FreePress.org,left,left3.png,NA,http://freepress.org/,freepress.org
Free Rein News,left,left2.png,NA,http://frnewsreport.com,frnewsreport.com
Freedom From Religion Foundation (FFRF),left,left10.png,USA,https://ffrf.org/,ffrf.org
Freedom News and Journal,left,left3.png,NA,https://freedomnews.org.uk/,freedomnews.org.uk
Front Page Live,left,left4.png,USA,https://www.frontpagelive.com,frontpagelive.com
FStv (freespeech.org),left,left7.png,USA,https://www.freespeech.org/,freespeech.org
Geopolitics Alert,left,left9.png,USA,https://geopoliticsalert.com/,geopoliticsalert.com
Gizmodo,left,left10.png,USA,https://gizmodo.com,gizmodo.com
Global Voices,left,left12.png,USA,https://globalvoices.org/,globalvoices.org
Good Magazine,left,left7.png,USA,https://www.good.is/,good.is
GQ Magazine,left,left11.png,USA,https://www.gq.com,gq.com
Grasping Reality With Both Hands: Bradford DeLong,left,left9.png,USA,http://www.bradford-delong.com/,bradford-delong.com
Green Left Weekly,left,left4.png,Australia,https://www.greenleft.org.au,greenleft.org.au
Grit Post,left,left9.png,USA,https://gritpost.com,gritpost.com
Guardian Liberty Voice,left,left5.png,USA,https://guardianlv.com/,guardianlv.com
Guardians of Democracy,left,left1.png,USA,https://theguardiansofdemocracy.com/,theguardiansofdemocracy.com
Haaretz,left,left11.png,Israel,https://www.haaretz.com/,haaretz.com
Hill Reporter,left,left5.png,USA,https://hillreporter.com,hillreporter.com
Huffington Post (HuffPost),left,left8.png,USA,https://www.huffpost.com/,huffpost.com
Human Rights Campaign (HRC),left,left6.png,USA,https://www.hrc.org,hrc.org
In Defence of Marxism,left,left3.png,NA,https://www.marxist.com/,marxist.com
In These Times,left,left4.png,USA,https://inthesetimes.com/,inthesetimes.com
Inequality Media,left,left12.png,USA,https://www.inequalitymedia.org/,inequalitymedia.org
Informed Comment,left,left11.png,NA,https://www.juancole.com,juancole.com
Institute for Policy Studies,left,left2.png,NA,https://ips-dc.org/,ips-dc.org
International Viewpoint,left,left1.png,NA,http://www.internationalviewpoint.org/,internationalviewpoint.org
Intrepid Report,left,left6.png,USA,http://www.intrepidreport.com/,intrepidreport.com
Iowa Starting Line,left,left8.png,USA,https://iowastartingline.com,iowastartingline.com
It’s Going Down,left,left2.png,USA,https://itsgoingdown.org/,itsgoingdown.org
Jacobin,left,left4.png,USA,https://www.jacobinmag.com/,jacobinmag.com
Jezebel,left,left3.png,USA,https://jezebel.com/,jezebel.com
JoeBiden.com,left,left8.png,USA,NA,NA
Latest.com,left,left1.png,USA,https://latest.com,latest.com
Lavender Magazine,left,left9.png,USA,https://www.lavendermagazine.com/,lavendermagazine.com
LA Weekly,left,left2.png,USA,https://www.laweekly.com/,laweekly.com
Left Foot Forward,left,left7.png,NA,https://leftfootforward.org/,leftfootforward.org
Left Over Rights,left,left3.png,NA,http://leftoverrights.com/,leftoverrights.com
Left Voice,left,left8.png,Argentina,https://www.leftvoice.org,leftvoice.org
LeftScoop,left,left1.png,NA,https://www.leftscoop.com/,leftscoop.com
LGBTQ Nation,left,left4.png,USA,https://www.lgbtqnation.com/,lgbtqnation.com
Libcom.org,left,left2.png,NA,http://libcom.org,libcom.org
Liberal America,left,left6.png,USA,http://liberalamerica.org/,liberalamerica.org
Liberal Examiner,left,left1.png,NA,https://www.liberalexaminer.com/,liberalexaminer.com
Liberation News,left,left8.png,NA,https://www.liberationnews.org/,liberationnews.org
Little Green Footballs,left,left8.png,USA,http://littlegreenfootballs.com/,littlegreenfootballs.com
Mashable,left,left10.png,USA,https://mashable.com,mashable.com
Media Matters,left,left7.png,USA,https://www.mediamatters.org,mediamatters.org
Mediaite,left,left7.png,USA,https://www.mediaite.com/,mediaite.com
Meduza,left,left11.png,Latvia,https://meduza.io/en,meduza.io
MeidasTouch,left,left2.png,USA,https://www.meidastouch.com/,meidastouch.com
Merry Jane,left,left10.png,USA,https://www.merryjane.com/,merryjane.com
Miami New Times,left,leftcenter01.png,USA,http://www.miaminewtimes.com/,miaminewtimes.com
Middle East Monitor,left,left9.png,United Kingdom,https://www.middleeastmonitor.com/,middleeastmonitor.com
Modern Liberals,left,left1.png,USA,http://modernliberals.com/,modernliberals.com
Molad The Center for the Renewal of Israeli Democracy,left,left10.png,NA,http://www.molad.org/en/,molad.org
Monthly Review,left,left3.png,USA,https://monthlyreview.org/,monthlyreview.org
Moon of Alabama,left,left4.png,USA,https://www.moonofalabama.org/,moonofalabama.org
Ms. (Magazine),left,left10.png,NA,http://www.msmagazine.com/,msmagazine.com
MSNBC,left,left8.png,USA,https://www.msnbc.com/,msnbc.com
Nation of Change,left,left5.png,USA,https://www.nationofchange.org/,nationofchange.org
National Association for the Advancement of Colored People (NAACP),left,left9.png,USA,https://www.naacp.org/,naacp.org
Natural Resources Defense Council (NRDC),left,left10.png,USA,https://www.nrdc.org/,nrdc.org
NC Policy Watch,left,left8.png,NA,NA,NA
New Internationalist,left,left4.png,United Kingdom,https://newint.org/,newint.org
New Politics Magazine,left,leftcenter01.png,USA,https://newpol.org/,newpol.org
New Republic,left,left6.png,USA,https://newrepublic.com/,newrepublic.com
New Statesman,left,left6.png,United Kingdom,https://www.newstatesman.com,newstatesman.com
New York Amsterdam News,left,left11.png,USA,http://amsterdamnews.com,amsterdamnews.com
New York Magazine,left,left9.png,USA,http://nymag.com/,nymag.com
New Yorker,left,left7.png,USA,https://www.newyorker.com/,newyorker.com
News Corpse,left,left2.png,USA,https://www.newscorpse.com/,newscorpse.com
NewsHounds,left,left4.png,USA,https://www.newshounds.us/,newshounds.us
NewsOne,left,left7.png,USA,https://newsone.com/,newsone.com
North99,left,left6.png,Canada,https://north99.org/,north99.org
Now Magazine,left,left12.png,NA,https://nowtoronto.com/,nowtoronto.com
Occupy.com,left,left6.png,USA,https://www.occupy.com,occupy.com
One Green Planet,left,left3.png,USA,http://www.onegreenplanet.org,onegreenplanet.org
OpEdNews (OEN),left,left3.png,USA,https://www.opednews.com/,opednews.com
Open Society Foundations,left,left2.png,USA,https://www.opensocietyfoundations.org/,opensocietyfoundations.org
Out Magazine,left,left8.png,USA,https://www.out.com,out.com
Palmer Report,left,left3.png,USA,https://www.palmerreport.com,palmerreport.com
Paste Magazine,left,left8.png,USA,https://www.pastemagazine.com/,pastemagazine.com
Peacock Panache,left,left3.png,USA,https://www.peacock-panache.com/,peacock-panache.com
People for the American Way (PFAW),left,left11.png,NA,NA,NA
People Magazine,left,left12.png,USA,https://people.com,people.com
PINAC,left,leftcenter02.png,USA,https://newsmaven.io/pinacnews,newsmaven.io
PinkNews,left,left8.png,United Kingdom,https://www.pinknews.co.uk,pinknews.co.uk
Political Dig,left,left2.png,USA,http://politicaldig.com/,politicaldig.com
Political Tribune (DC Tribune),left,left1.png,USA,https://polinews.org/,polinews.org
PoliticusUSA,left,left2.png,USA,https://www.politicususa.com,politicususa.com
Politizoom,left,left3.png,USA,https://politizoom.com,politizoom.com
Popular Information,left,left7.png,USA,https://popular.info,popular.info
Popular Resistance,left,left9.png,NA,https://popularresistance.org/,popularresistance.org
Press Progress,left,left10.png,Canada,https://www.pressprogress.ca/,pressprogress.ca
Progressive Army,left,left8.png,NA,http://progressivearmy.com,progressivearmy.com
Progressive Change Campaign Committee,left,left2.png,USA,https://www.boldprogressives.org/,boldprogressives.org
Project Censored,left,left11.png,NA,http://projectcensored.org/,projectcensored.org
Queerty,left,left10.png,NA,https://www.queerty.com,queerty.com
Rabble.ca,left,left5.png,Canada,http://rabble.ca/,rabble.ca
Rantt Media,left,left11.png,USA,https://rantt.com,rantt.com
Rappler,left,left12.png,NA,http://www.rappler.com/,rappler.com
Raw Story,left,left5.png,USA,https://www.rawstory.com/,rawstory.com
